0.00.251.880 I llama_model_loader: - kv  28:                qwen35.nextn_predict_layers u32              = 1
0.00.605.102 I load_tensors:        CUDA0 model buffer size =     0.00 MiB
0.00.605.106 I load_tensors:    CUDA_Host model buffer size =     0.00 MiB
0.00.610.381 I llama_context:  CUDA_Host  output buffer size =     0.95 MiB
0.00.610.886 I llama_kv_cache:      CUDA0 KV buffer size =     0.00 MiB
0.00.613.013 I llama_memory_recurrent:      CUDA0 RS buffer size =   598.50 MiB
0.00.630.907 I sched_reserve:      CUDA0 compute buffer size =   184.27 MiB
0.00.630.910 I sched_reserve:  CUDA_Host compute buffer size =    26.27 MiB
0.00.631.546 I common_memory_breakdown_print: | memory breakdown [MiB]  | total    free     self   model   context   compute    unaccounted |
0.00.631.549 I common_memory_breakdown_print: |   - CUDA0 (RTX 5060 Ti) | 15849 = 15099 + (14931 = 13061 +    1686 +     184) +      -14181 |
0.00.631.551 I common_memory_breakdown_print: |   - Host                |                    547 =   520 +       0 +      26                |
0.00.724.514 I llama_model_loader: - kv  28:                qwen35.nextn_predict_layers u32              = 1
0.01.068.339 I load_tensors:        CUDA0 model buffer size =     0.00 MiB
0.01.068.341 I load_tensors:    CUDA_Host model buffer size =     0.00 MiB
0.01.072.221 I llama_context:  CUDA_Host  output buffer size =     0.95 MiB
0.01.072.483 I llama_kv_cache:      CUDA0 KV buffer size =     0.00 MiB
0.01.083.246 I sched_reserve:      CUDA0 compute buffer size =   184.27 MiB
0.01.083.249 I sched_reserve:  CUDA_Host compute buffer size =    26.27 MiB
0.01.083.449 I common_memory_breakdown_print: | memory breakdown [MiB]  | total    free     self   model   context   compute    unaccounted |
0.01.083.451 I common_memory_breakdown_print: |   - CUDA0 (RTX 5060 Ti) | 15849 = 15699 + (13313 = 13061 +      68 +     184) +      -13163 |
0.01.083.453 I common_memory_breakdown_print: |   - Host                |                    547 =   520 +       0 +      26                |
0.01.131.110 W common_fit_params: failed to fit params to free device memory: n_gpu_layers already set by user to 99, abort
0.01.168.825 I llama_model_loader: - kv  28:                qwen35.nextn_predict_layers u32              = 1
0.02.045.248 I load_tensors:   CPU_Mapped model buffer size =   521.00 MiB
0.02.045.249 I load_tensors:        CUDA0 model buffer size = 13061.10 MiB
0.04.219.139 I llama_context:  CUDA_Host  output buffer size =     0.95 MiB
0.04.219.662 I llama_kv_cache:      CUDA0 KV buffer size =  1088.00 MiB
0.04.224.144 I llama_memory_recurrent:      CUDA0 RS buffer size =   598.50 MiB
0.04.265.136 I sched_reserve:      CUDA0 compute buffer size =   184.27 MiB
0.04.265.141 I sched_reserve:  CUDA_Host compute buffer size =    26.27 MiB
0.04.349.761 I llama_context:  CUDA_Host  output buffer size =     0.95 MiB
0.04.350.984 I llama_kv_cache:      CUDA0 KV buffer size =    68.00 MiB
0.04.378.598 I sched_reserve:      CUDA0 compute buffer size =   184.27 MiB
0.04.378.602 I sched_reserve:  CUDA_Host compute buffer size =    26.27 MiB
0.04.447.152 I spec common_specu: adding speculative implementation 'draft-mtp'
0.04.447.158 I spec common_specu: - n_max=3, n_min=0, p_min=0.00, n_embd=5120, backend_sampling=1
0.04.447.161 I spec common_specu: - gpu_layers=0, cache_k=q8_0, cache_v=q8_0, ctx_tgt=yes, ctx_dft=yes, devices=[default]
0.04.475.586 I sched_reserve:      CUDA0 compute buffer size =   184.27 MiB
0.04.475.590 I sched_reserve:  CUDA_Host compute buffer size =    26.27 MiB
0.04.491.469 I srv  llama_server: model loaded
3.03.110.217 D spec common_specu: called impl draft-mtp, hist size = 39, call_count = 1, gen = 3
7.26.758.435 D spec common_specu: called impl draft-mtp, hist size = 19063, call_count = 449, gen = 3
7.26.824.166 D spec common_specu: called impl draft-mtp, hist size = 19067, call_count = 450, gen = 3
7.26.890.849 D spec common_specu: called impl draft-mtp, hist size = 19071, call_count = 451, gen = 3
7.26.956.420 D spec common_specu: called impl draft-mtp, hist size = 19075, call_count = 452, gen = 3
7.27.021.534 D spec common_specu: called impl draft-mtp, hist size = 19079, call_count = 453, gen = 3
7.27.088.027 D spec common_specu: called impl draft-mtp, hist size = 19083, call_count = 454, gen = 3
7.27.153.617 D spec common_specu: called impl draft-mtp, hist size = 19087, call_count = 455, gen = 3
7.27.219.110 D spec common_specu: called impl draft-mtp, hist size = 19090, call_count = 456, gen = 3
7.27.284.929 D spec common_specu: called impl draft-mtp, hist size = 19094, call_count = 457, gen = 3
7.27.350.158 D spec common_specu: called impl draft-mtp, hist size = 19098, call_count = 458, gen = 3
7.27.415.435 D spec common_specu: called impl draft-mtp, hist size = 19102, call_count = 459, gen = 3
7.27.481.070 D spec common_specu: called impl draft-mtp, hist size = 19106, call_count = 460, gen = 3
7.27.535.666 I slot print_timing: id  0 | task 49 | n_gen =   1612, tg =  59.25 t/s, tg_3s =  60.19 t/s
7.27.546.587 D spec common_specu: called impl draft-mtp, hist size = 19110, call_count = 461, gen = 3
7.27.612.373 D spec common_specu: called impl draft-mtp, hist size = 19114, call_count = 462, gen = 3
7.27.677.703 D spec common_specu: called impl draft-mtp, hist size = 19118, call_count = 463, gen = 3
7.27.744.051 D spec common_specu: called impl draft-mtp, hist size = 19122, call_count = 464, gen = 3
7.27.810.937 D spec common_specu: called impl draft-mtp, hist size = 19126, call_count = 465, gen = 3
7.27.876.515 D spec common_specu: called impl draft-mtp, hist size = 19130, call_count = 466, gen = 3
7.27.943.413 D spec common_specu: called impl draft-mtp, hist size = 19134, call_count = 467, gen = 3
7.28.008.793 D spec common_specu: called impl draft-mtp, hist size = 19138, call_count = 468, gen = 3
7.28.074.313 D spec common_specu: called impl draft-mtp, hist size = 19142, call_count = 469, gen = 3
7.28.140.417 D spec common_specu: called impl draft-mtp, hist size = 19146, call_count = 470, gen = 3
7.28.206.012 D spec common_specu: called impl draft-mtp, hist size = 19150, call_count = 471, gen = 3
7.28.271.663 D spec common_specu: called impl draft-mtp, hist size = 19154, call_count = 472, gen = 3
7.28.338.636 D spec common_specu: called impl draft-mtp, hist size = 19158, call_count = 473, gen = 3
7.28.404.353 D spec common_specu: called impl draft-mtp, hist size = 19162, call_count = 474, gen = 3
7.28.469.838 D spec common_specu: called impl draft-mtp, hist size = 19166, call_count = 475, gen = 3
7.28.536.566 D spec common_specu: called impl draft-mtp, hist size = 19170, call_count = 476, gen = 3
7.28.602.179 D spec common_specu: called impl draft-mtp, hist size = 19174, call_count = 477, gen = 3
7.28.667.610 D spec common_specu: called impl draft-mtp, hist size = 19178, call_count = 478, gen = 3
7.28.732.859 D spec common_specu: called impl draft-mtp, hist size = 19182, call_count = 479, gen = 3
7.28.797.992 D spec common_specu: called impl draft-mtp, hist size = 19186, call_count = 480, gen = 3
7.28.863.243 D spec common_specu: called impl draft-mtp, hist size = 19190, call_count = 481, gen = 3
7.28.930.411 D spec common_specu: called impl draft-mtp, hist size = 19194, call_count = 482, gen = 3
7.28.996.289 D spec common_specu: called impl draft-mtp, hist size = 19198, call_count = 483, gen = 3
7.29.064.270 D spec common_specu: called impl draft-mtp, hist size = 19199, call_count = 484, gen = 3
7.29.134.390 D spec common_specu: called impl draft-mtp, hist size = 19203, call_count = 485, gen = 3
7.29.199.531 D spec common_specu: called impl draft-mtp, hist size = 19207, call_count = 486, gen = 3
7.29.264.702 D spec common_specu: called impl draft-mtp, hist size = 19208, call_count = 487, gen = 3
7.29.329.699 D spec common_specu: called impl draft-mtp, hist size = 19209, call_count = 488, gen = 3
7.29.395.334 D spec common_specu: called impl draft-mtp, hist size = 19213, call_count = 489, gen = 3
7.29.460.416 D spec common_specu: called impl draft-mtp, hist size = 19216, call_count = 490, gen = 3
7.29.525.415 D spec common_specu: called impl draft-mtp, hist size = 19218, call_count = 491, gen = 3
7.29.590.526 D spec common_specu: called impl draft-mtp, hist size = 19219, call_count = 492, gen = 3
7.29.655.919 D spec common_specu: called impl draft-mtp, hist size = 19223, call_count = 493, gen = 3
7.29.721.175 D spec common_specu: called impl draft-mtp, hist size = 19227, call_count = 494, gen = 3
7.29.786.402 D spec common_specu: called impl draft-mtp, hist size = 19231, call_count = 495, gen = 3
7.29.851.659 D spec common_specu: called impl draft-mtp, hist size = 19233, call_count = 496, gen = 3
7.29.917.047 D spec common_specu: called impl draft-mtp, hist size = 19237, call_count = 497, gen = 3
7.29.981.948 D spec common_specu: called impl draft-mtp, hist size = 19238, call_count = 498, gen = 3
7.30.047.240 D spec common_specu: called impl draft-mtp, hist size = 19242, call_count = 499, gen = 3
7.30.112.897 D spec common_specu: called impl draft-mtp, hist size = 19246, call_count = 500, gen = 3
7.30.179.263 D spec common_specu: called impl draft-mtp, hist size = 19248, call_count = 501, gen = 3
7.30.244.298 D spec common_specu: called impl draft-mtp, hist size = 19250, call_count = 502, gen = 3
7.30.309.853 D spec common_specu: called impl draft-mtp, hist size = 19254, call_count = 503, gen = 3
7.30.376.511 D spec common_specu: called impl draft-mtp, hist size = 19256, call_count = 504, gen = 3
7.30.442.551 D spec common_specu: called impl draft-mtp, hist size = 19257, call_count = 505, gen = 3
7.30.507.742 D spec common_specu: called impl draft-mtp, hist size = 19258, call_count = 506, gen = 3
7.30.562.061 I slot print_timing: id  0 | task 49 | n_gen =   1761, tg =  58.24 t/s, tg_3s =  49.23 t/s
7.30.573.064 D spec common_specu: called impl draft-mtp, hist size = 19259, call_count = 507, gen = 3
7.30.638.697 D spec common_specu: called impl draft-mtp, hist size = 19263, call_count = 508, gen = 3
7.30.704.939 D spec common_specu: called impl draft-mtp, hist size = 19267, call_count = 509, gen = 3
7.30.770.586 D spec common_specu: called impl draft-mtp, hist size = 19271, call_count = 510, gen = 3
7.30.836.253 D spec common_specu: called impl draft-mtp, hist size = 19272, call_count = 511, gen = 3
7.30.901.960 D spec common_specu: called impl draft-mtp, hist size = 19276, call_count = 512, gen = 3
7.30.967.356 D spec common_specu: called impl draft-mtp, hist size = 19279, call_count = 513, gen = 3
7.31.032.824 D spec common_specu: called impl draft-mtp, hist size = 19283, call_count = 514, gen = 3
7.31.098.447 D spec common_specu: called impl draft-mtp, hist size = 19287, call_count = 515, gen = 3
7.31.163.676 D spec common_specu: called impl draft-mtp, hist size = 19289, call_count = 516, gen = 3
7.31.230.024 D spec common_specu: called impl draft-mtp, hist size = 19290, call_count = 517, gen = 3
7.31.295.076 D spec common_specu: called impl draft-mtp, hist size = 19292, call_count = 518, gen = 3
7.31.361.504 D spec common_specu: called impl draft-mtp, hist size = 19295, call_count = 519, gen = 3
7.31.426.519 D spec common_specu: called impl draft-mtp, hist size = 19296, call_count = 520, gen = 3
7.31.492.126 D spec common_specu: called impl draft-mtp, hist size = 19300, call_count = 521, gen = 3
7.31.557.701 D spec common_specu: called impl draft-mtp, hist size = 19303, call_count = 522, gen = 3
7.31.623.405 D spec common_specu: called impl draft-mtp, hist size = 19304, call_count = 523, gen = 3
7.31.689.028 D spec common_specu: called impl draft-mtp, hist size = 19308, call_count = 524, gen = 3
7.31.753.851 D spec common_specu: called impl draft-mtp, hist size = 19310, call_count = 525, gen = 3
7.31.819.543 D spec common_specu: called impl draft-mtp, hist size = 19314, call_count = 526, gen = 3
7.31.887.113 D spec common_specu: called impl draft-mtp, hist size = 19318, call_count = 527, gen = 3
7.31.953.269 D spec common_specu: called impl draft-mtp, hist size = 19322, call_count = 528, gen = 3
7.32.018.566 D spec common_specu: called impl draft-mtp, hist size = 19326, call_count = 529, gen = 3
7.32.084.243 D spec common_specu: called impl draft-mtp, hist size = 19330, call_count = 530, gen = 3
7.32.151.571 D spec common_specu: called impl draft-mtp, hist size = 19334, call_count = 531, gen = 3
7.32.216.947 D spec common_specu: called impl draft-mtp, hist size = 19338, call_count = 532, gen = 3
7.32.283.545 D spec common_specu: called impl draft-mtp, hist size = 19342, call_count = 533, gen = 3
7.32.348.989 D spec common_specu: called impl draft-mtp, hist size = 19346, call_count = 534, gen = 3
7.32.415.942 D spec common_specu: called impl draft-mtp, hist size = 19350, call_count = 535, gen = 3
7.32.481.586 D spec common_specu: called impl draft-mtp, hist size = 19354, call_count = 536, gen = 3
7.32.547.416 D spec common_specu: called impl draft-mtp, hist size = 19358, call_count = 537, gen = 3
7.32.613.842 D spec common_specu: called impl draft-mtp, hist size = 19362, call_count = 538, gen = 3
7.32.679.769 D spec common_specu: called impl draft-mtp, hist size = 19366, call_count = 539, gen = 3
7.32.745.282 D spec common_specu: called impl draft-mtp, hist size = 19370, call_count = 540, gen = 3
7.32.811.250 D spec common_specu: called impl draft-mtp, hist size = 19374, call_count = 541, gen = 3
7.32.876.980 D spec common_specu: called impl draft-mtp, hist size = 19378, call_count = 542, gen = 3
7.32.943.940 D spec common_specu: called impl draft-mtp, hist size = 19382, call_count = 543, gen = 3
7.33.009.362 D spec common_specu: called impl draft-mtp, hist size = 19386, call_count = 544, gen = 3
7.33.075.269 D spec common_specu: called impl draft-mtp, hist size = 19390, call_count = 545, gen = 3
7.33.141.599 D spec common_specu: called impl draft-mtp, hist size = 19394, call_count = 546, gen = 3
7.33.207.908 D spec common_specu: called impl draft-mtp, hist size = 19398, call_count = 547, gen = 3
7.33.273.540 D spec common_specu: called impl draft-mtp, hist size = 19402, call_count = 548, gen = 3
7.33.340.596 D spec common_specu: called impl draft-mtp, hist size = 19406, call_count = 549, gen = 3
7.33.408.179 D spec common_specu: called impl draft-mtp, hist size = 19410, call_count = 550, gen = 3
7.33.473.560 D spec common_specu: called impl draft-mtp, hist size = 19414, call_count = 551, gen = 3
7.33.540.476 D spec common_specu: called impl draft-mtp, hist size = 19418, call_count = 552, gen = 3
7.33.596.426 I slot print_timing: id  0 | task 49 | n_gen =   1924, tg =  57.83 t/s, tg_3s =  53.72 t/s
7.33.607.716 D spec common_specu: called impl draft-mtp, hist size = 19422, call_count = 553, gen = 3
7.33.673.435 D spec common_specu: called impl draft-mtp, hist size = 19426, call_count = 554, gen = 3
7.33.740.240 D spec common_specu: called impl draft-mtp, hist size = 19430, call_count = 555, gen = 3
7.33.807.473 D spec common_specu: called impl draft-mtp, hist size = 19434, call_count = 556, gen = 3
7.33.872.851 D spec common_specu: called impl draft-mtp, hist size = 19438, call_count = 557, gen = 3
7.33.939.987 D spec common_specu: called impl draft-mtp, hist size = 19442, call_count = 558, gen = 3
7.34.008.548 D spec common_specu: called impl draft-mtp, hist size = 19446, call_count = 559, gen = 3
7.34.074.474 D spec common_specu: called impl draft-mtp, hist size = 19450, call_count = 560, gen = 3
7.34.140.999 D spec common_specu: called impl draft-mtp, hist size = 19454, call_count = 561, gen = 3
7.34.210.369 D spec common_specu: called impl draft-mtp, hist size = 19458, call_count = 562, gen = 3
7.34.281.872 D spec common_specu: called impl draft-mtp, hist size = 19462, call_count = 563, gen = 3
7.34.347.352 D spec common_specu: called impl draft-mtp, hist size = 19466, call_count = 564, gen = 3
7.34.412.962 D spec common_specu: called impl draft-mtp, hist size = 19470, call_count = 565, gen = 3
7.34.479.376 D spec common_specu: called impl draft-mtp, hist size = 19474, call_count = 566, gen = 3
7.34.545.372 D spec common_specu: called impl draft-mtp, hist size = 19478, call_count = 567, gen = 3
7.34.611.665 D spec common_specu: called impl draft-mtp, hist size = 19482, call_count = 568, gen = 3
7.34.678.117 D spec common_specu: called impl draft-mtp, hist size = 19486, call_count = 569, gen = 3
7.34.743.901 D spec common_specu: called impl draft-mtp, hist size = 19490, call_count = 570, gen = 3
7.34.813.186 D spec common_specu: called impl draft-mtp, hist size = 19494, call_count = 571, gen = 3
7.34.878.886 D spec common_specu: called impl draft-mtp, hist size = 19498, call_count = 572, gen = 3
7.34.944.475 D spec common_specu: called impl draft-mtp, hist size = 19502, call_count = 573, gen = 3
7.35.011.867 D spec common_specu: called impl draft-mtp, hist size = 19506, call_count = 574, gen = 3
7.35.078.353 D spec common_specu: called impl draft-mtp, hist size = 19510, call_count = 575, gen = 3
7.35.144.102 D spec common_specu: called impl draft-mtp, hist size = 19514, call_count = 576, gen = 3
7.35.213.387 D spec common_specu: called impl draft-mtp, hist size = 19518, call_count = 577, gen = 3
7.35.278.822 D spec common_specu: called impl draft-mtp, hist size = 19522, call_count = 578, gen = 3
7.35.344.373 D spec common_specu: called impl draft-mtp, hist size = 19526, call_count = 579, gen = 3
7.35.411.571 D spec common_specu: called impl draft-mtp, hist size = 19530, call_count = 580, gen = 3
7.35.478.347 D spec common_specu: called impl draft-mtp, hist size = 19534, call_count = 581, gen = 3
7.35.544.342 D spec common_specu: called impl draft-mtp, hist size = 19538, call_count = 582, gen = 3
7.35.611.648 D spec common_specu: called impl draft-mtp, hist size = 19542, call_count = 583, gen = 3
7.35.678.481 D spec common_specu: called impl draft-mtp, hist size = 19546, call_count = 584, gen = 3
7.35.744.096 D spec common_specu: called impl draft-mtp, hist size = 19550, call_count = 585, gen = 3
7.35.811.034 D spec common_specu: called impl draft-mtp, hist size = 19554, call_count = 586, gen = 3
7.35.877.343 D spec common_specu: called impl draft-mtp, hist size = 19558, call_count = 587, gen = 3
7.35.943.399 D spec common_specu: called impl draft-mtp, hist size = 19562, call_count = 588, gen = 3
7.36.010.726 D spec common_specu: called impl draft-mtp, hist size = 19566, call_count = 589, gen = 3
7.36.077.095 D spec common_specu: called impl draft-mtp, hist size = 19570, call_count = 590, gen = 3
7.36.143.321 D spec common_specu: called impl draft-mtp, hist size = 19574, call_count = 591, gen = 3
7.36.211.117 D spec common_specu: called impl draft-mtp, hist size = 19578, call_count = 592, gen = 3
7.36.277.851 D spec common_specu: called impl draft-mtp, hist size = 19582, call_count = 593, gen = 3
7.36.343.550 D spec common_specu: called impl draft-mtp, hist size = 19586, call_count = 594, gen = 3
7.36.410.694 D spec common_specu: called impl draft-mtp, hist size = 19590, call_count = 595, gen = 3
7.36.477.009 D spec common_specu: called impl draft-mtp, hist size = 19594, call_count = 596, gen = 3
7.36.543.202 D spec common_specu: called impl draft-mtp, hist size = 19598, call_count = 597, gen = 3
7.36.598.996 I slot print_timing: id  0 | task 49 | n_gen =   2104, tg =  58.01 t/s, tg_3s =  59.95 t/s
7.36.610.183 D spec common_specu: called impl draft-mtp, hist size = 19602, call_count = 598, gen = 3
7.36.676.429 D spec common_specu: called impl draft-mtp, hist size = 19606, call_count = 599, gen = 3
7.36.743.773 D spec common_specu: called impl draft-mtp, hist size = 19610, call_count = 600, gen = 3
7.36.810.162 D spec common_specu: called impl draft-mtp, hist size = 19614, call_count = 601, gen = 3
7.36.876.839 D spec common_specu: called impl draft-mtp, hist size = 19618, call_count = 602, gen = 3
7.36.943.429 D spec common_specu: called impl draft-mtp, hist size = 19622, call_count = 603, gen = 3
7.37.009.988 D spec common_specu: called impl draft-mtp, hist size = 19626, call_count = 604, gen = 3
7.37.076.254 D spec common_specu: called impl draft-mtp, hist size = 19630, call_count = 605, gen = 3
7.37.143.274 D spec common_specu: called impl draft-mtp, hist size = 19634, call_count = 606, gen = 3
7.37.209.444 D spec common_specu: called impl draft-mtp, hist size = 19638, call_count = 607, gen = 3
7.37.275.382 D spec common_specu: called impl draft-mtp, hist size = 19642, call_count = 608, gen = 3
7.37.340.916 D spec common_specu: called impl draft-mtp, hist size = 19646, call_count = 609, gen = 3
7.37.406.706 D spec common_specu: called impl draft-mtp, hist size = 19650, call_count = 610, gen = 3
7.37.472.366 D spec common_specu: called impl draft-mtp, hist size = 19654, call_count = 611, gen = 3
7.37.539.946 D spec common_specu: called impl draft-mtp, hist size = 19658, call_count = 612, gen = 3
7.37.606.075 D spec common_specu: called impl draft-mtp, hist size = 19662, call_count = 613, gen = 3
7.37.671.872 D spec common_specu: called impl draft-mtp, hist size = 19666, call_count = 614, gen = 3
7.37.739.546 D spec common_specu: called impl draft-mtp, hist size = 19670, call_count = 615, gen = 3
7.37.805.906 D spec common_specu: called impl draft-mtp, hist size = 19674, call_count = 616, gen = 3
7.37.872.493 D spec common_specu: called impl draft-mtp, hist size = 19678, call_count = 617, gen = 3
7.37.939.308 D spec common_specu: called impl draft-mtp, hist size = 19682, call_count = 618, gen = 3
7.38.005.194 D spec common_specu: called impl draft-mtp, hist size = 19686, call_count = 619, gen = 3
7.38.071.185 D spec common_specu: called impl draft-mtp, hist size = 19690, call_count = 620, gen = 3
7.38.137.485 D spec common_specu: called impl draft-mtp, hist size = 19694, call_count = 621, gen = 3
7.38.203.646 D spec common_specu: called impl draft-mtp, hist size = 19698, call_count = 622, gen = 3
7.38.269.705 D spec common_specu: called impl draft-mtp, hist size = 19702, call_count = 623, gen = 3
7.38.336.270 D spec common_specu: called impl draft-mtp, hist size = 19706, call_count = 624, gen = 3
7.38.402.218 D spec common_specu: called impl draft-mtp, hist size = 19710, call_count = 625, gen = 3
7.38.471.219 D spec common_specu: called impl draft-mtp, hist size = 19714, call_count = 626, gen = 3
7.38.541.507 D spec common_specu: called impl draft-mtp, hist size = 19718, call_count = 627, gen = 3
7.38.607.175 D spec common_specu: called impl draft-mtp, hist size = 19722, call_count = 628, gen = 3
7.38.673.809 D spec common_specu: called impl draft-mtp, hist size = 19726, call_count = 629, gen = 3
7.38.739.704 D spec common_specu: called impl draft-mtp, hist size = 19730, call_count = 630, gen = 3
7.38.805.588 D spec common_specu: called impl draft-mtp, hist size = 19734, call_count = 631, gen = 3
7.38.872.016 D spec common_specu: called impl draft-mtp, hist size = 19738, call_count = 632, gen = 3
7.38.938.357 D spec common_specu: called impl draft-mtp, hist size = 19742, call_count = 633, gen = 3
7.39.003.943 D spec common_specu: called impl draft-mtp, hist size = 19746, call_count = 634, gen = 3
7.39.070.403 D spec common_specu: called impl draft-mtp, hist size = 19750, call_count = 635, gen = 3
7.39.138.055 D spec common_specu: called impl draft-mtp, hist size = 19754, call_count = 636, gen = 3
7.39.204.403 D spec common_specu: called impl draft-mtp, hist size = 19758, call_count = 637, gen = 3
7.39.270.509 D spec common_specu: called impl draft-mtp, hist size = 19762, call_count = 638, gen = 3
7.39.337.086 D spec common_specu: called impl draft-mtp, hist size = 19766, call_count = 639, gen = 3
7.39.403.552 D spec common_specu: called impl draft-mtp, hist size = 19770, call_count = 640, gen = 3
7.39.470.755 D spec common_specu: called impl draft-mtp, hist size = 19774, call_count = 641, gen = 3
7.39.537.030 D spec common_specu: called impl draft-mtp, hist size = 19778, call_count = 642, gen = 3
7.39.603.276 D spec common_specu: called impl draft-mtp, hist size = 19782, call_count = 643, gen = 3
7.39.658.124 I slot print_timing: id  0 | task 49 | n_gen =   2288, tg =  58.17 t/s, tg_3s =  60.15 t/s
7.39.669.379 D spec common_specu: called impl draft-mtp, hist size = 19786, call_count = 644, gen = 3
7.39.735.058 D spec common_specu: called impl draft-mtp, hist size = 19790, call_count = 645, gen = 3
7.39.801.047 D spec common_specu: called impl draft-mtp, hist size = 19794, call_count = 646, gen = 3
7.39.866.948 D spec common_specu: called impl draft-mtp, hist size = 19798, call_count = 647, gen = 3
7.39.932.733 D spec common_specu: called impl draft-mtp, hist size = 19802, call_count = 648, gen = 3
7.39.998.652 D spec common_specu: called impl draft-mtp, hist size = 19806, call_count = 649, gen = 3
7.40.065.265 D spec common_specu: called impl draft-mtp, hist size = 19810, call_count = 650, gen = 3
7.40.131.041 D spec common_specu: called impl draft-mtp, hist size = 19814, call_count = 651, gen = 3
7.40.196.800 D spec common_specu: called impl draft-mtp, hist size = 19818, call_count = 652, gen = 3
7.40.262.442 D spec common_specu: called impl draft-mtp, hist size = 19822, call_count = 653, gen = 3
7.40.328.140 D spec common_specu: called impl draft-mtp, hist size = 19826, call_count = 654, gen = 3
7.40.395.263 D spec common_specu: called impl draft-mtp, hist size = 19830, call_count = 655, gen = 3
7.40.462.996 D spec common_specu: called impl draft-mtp, hist size = 19834, call_count = 656, gen = 3
7.40.529.218 D spec common_specu: called impl draft-mtp, hist size = 19838, call_count = 657, gen = 3
7.40.596.004 D spec common_specu: called impl draft-mtp, hist size = 19842, call_count = 658, gen = 3
7.40.662.396 D spec common_specu: called impl draft-mtp, hist size = 19846, call_count = 659, gen = 3
7.40.728.447 D spec common_specu: called impl draft-mtp, hist size = 19850, call_count = 660, gen = 3
7.40.795.759 D spec common_specu: called impl draft-mtp, hist size = 19854, call_count = 661, gen = 3
7.40.862.693 D spec common_specu: called impl draft-mtp, hist size = 19858, call_count = 662, gen = 3
7.40.928.760 D spec common_specu: called impl draft-mtp, hist size = 19862, call_count = 663, gen = 3
7.40.995.895 D spec common_specu: called impl draft-mtp, hist size = 19866, call_count = 664, gen = 3
7.41.062.251 D spec common_specu: called impl draft-mtp, hist size = 19870, call_count = 665, gen = 3
7.41.128.291 D spec common_specu: called impl draft-mtp, hist size = 19874, call_count = 666, gen = 3
7.41.195.188 D spec common_specu: called impl draft-mtp, hist size = 19878, call_count = 667, gen = 3
7.41.262.428 D spec common_specu: called impl draft-mtp, hist size = 19882, call_count = 668, gen = 3
7.41.328.546 D spec common_specu: called impl draft-mtp, hist size = 19886, call_count = 669, gen = 3
7.41.394.343 D spec common_specu: called impl draft-mtp, hist size = 19890, call_count = 670, gen = 3
7.41.461.771 D spec common_specu: called impl draft-mtp, hist size = 19894, call_count = 671, gen = 3
7.41.529.003 D spec common_specu: called impl draft-mtp, hist size = 19898, call_count = 672, gen = 3
7.41.596.003 D spec common_specu: called impl draft-mtp, hist size = 19902, call_count = 673, gen = 3
7.41.663.585 D spec common_specu: called impl draft-mtp, hist size = 19906, call_count = 674, gen = 3
7.41.730.172 D spec common_specu: called impl draft-mtp, hist size = 19910, call_count = 675, gen = 3
7.41.797.319 D spec common_specu: called impl draft-mtp, hist size = 19914, call_count = 676, gen = 3
7.41.863.104 D spec common_specu: called impl draft-mtp, hist size = 19918, call_count = 677, gen = 3
7.41.928.742 D spec common_specu: called impl draft-mtp, hist size = 19922, call_count = 678, gen = 3
7.41.994.541 D spec common_specu: called impl draft-mtp, hist size = 19926, call_count = 679, gen = 3
7.42.061.353 D spec common_specu: called impl draft-mtp, hist size = 19930, call_count = 680, gen = 3
7.42.127.318 D spec common_specu: called impl draft-mtp, hist size = 19934, call_count = 681, gen = 3
7.42.193.193 D spec common_specu: called impl draft-mtp, hist size = 19938, call_count = 682, gen = 3
7.42.259.568 D spec common_specu: called impl draft-mtp, hist size = 19942, call_count = 683, gen = 3
7.42.325.145 D spec common_specu: called impl draft-mtp, hist size = 19946, call_count = 684, gen = 3
7.42.391.127 D spec common_specu: called impl draft-mtp, hist size = 19950, call_count = 685, gen = 3
7.42.457.175 D spec common_specu: called impl draft-mtp, hist size = 19954, call_count = 686, gen = 3
7.42.523.193 D spec common_specu: called impl draft-mtp, hist size = 19958, call_count = 687, gen = 3
7.42.589.030 D spec common_specu: called impl draft-mtp, hist size = 19962, call_count = 688, gen = 3
7.42.655.055 D spec common_specu: called impl draft-mtp, hist size = 19966, call_count = 689, gen = 3
7.42.712.990 I slot print_timing: id  0 | task 49 | n_gen =   2472, tg =  58.32 t/s, tg_3s =  60.23 t/s
7.42.724.265 D spec common_specu: called impl draft-mtp, hist size = 19970, call_count = 690, gen = 3
7.42.798.916 D spec common_specu: called impl draft-mtp, hist size = 19974, call_count = 691, gen = 3
7.42.864.627 D spec common_specu: called impl draft-mtp, hist size = 19978, call_count = 692, gen = 3
7.42.931.815 D spec common_specu: called impl draft-mtp, hist size = 19982, call_count = 693, gen = 3
7.42.998.082 D spec common_specu: called impl draft-mtp, hist size = 19986, call_count = 694, gen = 3
7.43.064.143 D spec common_specu: called impl draft-mtp, hist size = 19990, call_count = 695, gen = 3
7.43.131.884 D spec common_specu: called impl draft-mtp, hist size = 19994, call_count = 696, gen = 3
7.43.198.297 D spec common_specu: called impl draft-mtp, hist size = 19998, call_count = 697, gen = 3
7.43.264.949 D spec common_specu: called impl draft-mtp, hist size = 20002, call_count = 698, gen = 3
7.43.332.095 D spec common_specu: called impl draft-mtp, hist size = 20006, call_count = 699, gen = 3
